id,name,department,total_reviews_count,average_quality_rating,average_difficulty_rating,classes_taught,class_map
2354286,William Bill Clement,Geology,38,2.8684210526315788,2.6052631578947367,"['GEO101', 'GEOLOGY101', 'GEO105']","{""101"": {""prefix"": ""GEO"", ""suffix"": """", ""labels"": [""GEO101"", ""GEOLOGY101""]}, ""105"": {""prefix"": ""GEO"", ""suffix"": """", ""labels"": [""GEO105""]}}"
67628,James Young,English,33,3.727272727272727,2.515151515151515,"['ENGLISH319', 'ENG319', 'ENGL319', 'JUD350', 'ENGHOL', 'COMPLIT391', 'ENG319HOLCST', 'ENGLISH', 'COMPLIT391A', 'REPHOLOCAUST', 'HOLOCAUST', 'ENG891J', 'ENG', 'ENG391', 'REPHOLOCA']","{""319"": {""prefix"": ""ENG"", ""suffix"": """", ""labels"": [""ENGLISH319"", ""ENG319"", ""ENGL319"", ""ENG319HOLCST""]}, ""350"": {""prefix"": ""JUD"", ""suffix"": """", ""labels"": [""JUD350""]}, ""391"": {""prefix"": ""COMPLIT"", ""suffix"": """", ""labels"": [""COMPLIT391"", ""COMPLIT391A"", ""ENG391""]}, ""891"": {""prefix"": ""ENG"", ""suffix"": ""J"", ""labels"": [""ENG891J""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""ENGHOL"", ""ENGLISH"", ""REPHOLOCAUST"", ""HOLOCAUST"", ""ENG"", ""REPHOLOCA""]}}"
210002,James Smethurst,Ethnic Studies,34,4.176470588235294,1.8823529411764703,"['AAS117', 'AFAM151', 'AFROAM151', 'AFROAM118', 'AFRAM118', 'AFROAMLIT117', 'IND6000', 'AML2', 'AFRO290', 'AFROA390C', 'AFRAM652', 'AFROAMTHESIS', 'AA117190', 'AAS190F', '391A']","{""117"": {""prefix"": ""AAS"", ""suffix"": """", ""labels"": [""AAS117"", ""AFROAMLIT117"", ""AA117190""]}, ""151"": {""prefix"": ""AFROAM"", ""suffix"": """", ""labels"": [""AFAM151"", ""AFROAM151""]}, ""118"": {""prefix"": ""AFRAM"", ""suffix"": """", ""labels"": [""AFROAM118"", ""AFRAM118""]}, ""290"": {""prefix"": ""AFRO"", ""suffix"": """", ""labels"": [""AFRO290""]}, ""390"": {""prefix"": ""AFROA"", ""suffix"": ""C"", ""labels"": [""AFROA390C""]}, ""652"": {""prefix"": ""AFRAM"", ""suffix"": """", ""labels"": [""AFRAM652""]}, ""190"": {""prefix"": ""Ethnic Studies"", ""suffix"": """", ""labels"": [""AAS190F"", ""AA117190""]}, ""391"": {""prefix"": """", ""suffix"": ""A"", ""labels"": [""391A""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""AFROAMTHESIS"", ""AML2"", ""AA117190""]}}"
756689,Yemisi Jimoh,African-American Studies,33,1.6666666666666667,4.242424242424242,"['AFRO117', 'AFROAM250', 'AFROAM118', 'AFAM118', 'AFRAM390J', 'AFAM390J', 'AFRO118', 'AFROA191A', 'AFRAM118', 'AFROAM692G', 'AFROAM297', 'AFROAM297C']","{""117"": {""prefix"": ""AFRO"", ""suffix"": """", ""labels"": [""AFRO117""]}, ""250"": {""prefix"": ""AFROAM"", ""suffix"": """", ""labels"": [""AFROAM250""]}, ""118"": {""prefix"": ""African-American Studies"", ""suffix"": """", ""labels"": [""AFROAM118"", ""AFAM118"", ""AFRO118"", ""AFRAM118""]}, ""390"": {""prefix"": ""African-American Studies"", ""suffix"": """", ""labels"": [""AFRAM390J"", ""AFAM390J""]}, ""191"": {""prefix"": ""AFROA"", ""suffix"": ""A"", ""labels"": [""AFROA191A""]}, ""692"": {""prefix"": ""AFROAM"", ""suffix"": ""G"", ""labels"": [""AFROAM692G""]}, ""297"": {""prefix"": ""African-American Studies"", ""suffix"": """", ""labels"": [""AFROAM297"", ""AFROAM297C""]}}"
1560176,Ernesto Garcia,Philosophy,33,3.727272727272727,2.8484848484848486,"['HMFNART102', 'PHIL360', 'PHIL321', 'PHIL331', 'KANT', 'PHIL500', 'PHIL160H', 'ETHICS201H', 'HONORS391A', 'PHIL100', 'FFYSAUTH', 'PHIL100A']","{""102"": {""prefix"": ""HMFNART"", ""suffix"": """", ""labels"": [""HMFNART102""]}, ""360"": {""prefix"": ""PHIL"", ""suffix"": """", ""labels"": [""PHIL360""]}, ""321"": {""prefix"": ""PHIL"", ""suffix"": """", ""labels"": [""PHIL321""]}, ""331"": {""prefix"": ""PHIL"", ""suffix"": """", ""labels"": [""PHIL331""]}, ""500"": {""prefix"": ""PHIL"", ""suffix"": """", ""labels"": [""PHIL500""]}, ""160"": {""prefix"": ""PHIL"", ""suffix"": ""H"", ""labels"": [""PHIL160H""]}, ""201"": {""prefix"": ""ETHICS"", ""suffix"": ""H"", ""labels"": [""ETHICS201H""]}, ""391"": {""prefix"": ""HONORS"", ""suffix"": ""A"", ""labels"": [""HONORS391A""]}, ""100"": {""prefix"": ""PHIL"", ""suffix"": """", ""labels"": [""PHIL100"", ""PHIL100A""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""KANT"", ""FFYSAUTH""]}}"
99994,Maciej Ciesielski,Electrical Engineering,33,2.606060606060606,3.393939393939394,"['ECE124', 'ECE667', 'ECE221', 'ENGIN112', 'ENG112', 'ECE112', 'ENGIN112H', 'ECE353', 'CSE351', 'ECE232', 'ECE232353']","{""124"": {""prefix"": ""ECE"", ""suffix"": """", ""labels"": [""ECE124""]}, ""667"": {""prefix"": ""ECE"", ""suffix"": """", ""labels"": [""ECE667""]}, ""221"": {""prefix"": ""ECE"", ""suffix"": """", ""labels"": [""ECE221""]}, ""112"": {""prefix"": ""ENGIN"", ""suffix"": """", ""labels"": [""ENGIN112"", ""ENG112"", ""ECE112"", ""ENGIN112H""]}, ""353"": {""prefix"": ""ECE"", ""suffix"": """", ""labels"": [""ECE353"", ""ECE232353""]}, ""351"": {""prefix"": ""CSE"", ""suffix"": """", ""labels"": [""CSE351""]}, ""232"": {""prefix"": ""ECE"", ""suffix"": """", ""labels"": [""ECE232"", ""ECE232353""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""ECE232353""]}}"
783175,Boris Svistunov,Physics,33,1.5151515151515151,4.515151515151516,"['PHYSICS151', 'P151', 'PHYS151', 'PHY151', '151', 'P282', 'BB151', 'PHYS282', 'PHYSC282', 'PHYSLAKJ']","{""151"": {""prefix"": ""PHYSICS"", ""suffix"": """", ""labels"": [""PHYSICS151"", ""P151"", ""PHYS151"", ""PHY151"", ""151"", ""BB151""]}, ""282"": {""prefix"": ""PHYS"", ""suffix"": """", ""labels"": [""P282"", ""PHYS282"", ""PHYSC282""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""PHYSLAKJ""]}}"
1256239,Edward Erikson,Political Science,33,4.9393939393939394,2.393939393939394,"['POLISCI399J', 'POLSCI399J', 'POL391', '399J', 'POLSISCI399J', 'POLISCI399', 'POLI399', 'POLIS171', 'POLSC181', 'INTRO171', 'POLSC171', 'POS171', 'POLI171', 'POLY171', 'POLI280', 'PS171', 'POLI181', 'POS101']","{""399"": {""prefix"": ""POLSCI"", ""suffix"": ""J"", ""labels"": [""POLISCI399J"", ""POLSCI399J"", ""399J"", ""POLSISCI399J"", ""POLISCI399"", ""POLI399""]}, ""391"": {""prefix"": ""POL"", ""suffix"": """", ""labels"": [""POL391""]}, ""171"": {""prefix"": ""POLI"", ""suffix"": """", ""labels"": [""POLIS171"", ""INTRO171"", ""POLSC171"", ""POS171"", ""POLI171"", ""POLY171"", ""PS171""]}, ""181"": {""prefix"": ""POLSC"", ""suffix"": """", ""labels"": [""POLSC181"", ""POLI181""]}, ""280"": {""prefix"": ""POLI"", ""suffix"": """", ""labels"": [""POLI280""]}, ""101"": {""prefix"": ""POS"", ""suffix"": """", ""labels"": [""POS101""]}}"
2391413,Matthew Rattigan,Computer Science,33,3.878787878787879,2.878787878787879,"['CMPSCI383', 'CS383', 'CS320', 'INFO397A', 'CS230', 'CS230CS383', 'CS187']","{""383"": {""prefix"": ""CS"", ""suffix"": """", ""labels"": [""CMPSCI383"", ""CS383"", ""CS230CS383""]}, ""320"": {""prefix"": ""CS"", ""suffix"": """", ""labels"": [""CS320""]}, ""397"": {""prefix"": ""INFO"", ""suffix"": ""A"", ""labels"": [""INFO397A""]}, ""230"": {""prefix"": ""CS"", ""suffix"": """", ""labels"": [""CS230"", ""CS230CS383""]}, ""187"": {""prefix"": ""CS"", ""suffix"": """", ""labels"": [""CS187""]}, ""misc"": {""prefix"": """", ""suffix"": """", ""labels"": [""CS230CS383""]}}"
2445013,Andrew Lan,Computer Science,33,4.242424242424242,3.090909090909091,"['COMPSCI240', 'CS240', 'CS590OP', 'COMPSCI590OP', 'CS230', 'CS220']","{""240"": {""prefix"": ""CS"", ""suffix"": """", ""labels"": [""COMPSCI240"", ""CS240""]}, ""590"": {""prefix"": ""CS"", ""suffix"": ""PO"", ""labels"": [""CS590OP"", ""COMPSCI590OP""]}, ""230"": {""prefix"": ""CS"", ""suffix"": """", ""labels"": [""CS230""]}, ""220"": {""prefix"": ""CS"", ""suffix"": """", ""labels"": [""CS220""]}}"
