id,name,department,total_reviews_count,average_quality_rating,average_difficulty_rating,classes_taught
88113,Susan Shapiro,Ethnic Studies,40,3.325,3.2,"['JUD376', 'JUD101', 'JUDAIC101', 'JUDAI101', 'JUDST101', 'JUDAIC391D', 'JUDAIC391', 'JUDAIC', 'JUD392E', 'JUD187']"
2577617,Johannes Wietzke,Classics,40,2.05,3.95,"['CLASSICS100', 'HFA102', 'CLASSICS224']"
1238111,Tony Lachowetz,Sports Management,40,3.975,2.525,"['MGMNT719', 'MGMT719', 'MANAGMNT341', 'MKTG425', 'SPORT210', 'SPORTMGMT210', '494PI', '210', 'SPORTMGT210', 'SPORTSMGMT210', 'SPTMGT210', 'INTROSPRTMGMT', 'MGMT697ET', 'SPRT492', 'SPMGT480', 'SPORT294B', 'SPMT294B', 'SPT294B']"
350779,Frank Cannon,Biochemistry,40,3.55,2.025,"['BIOCHEM420', 'BIOCH420', 'BIOCH100', 'MYDNA100', 'BIOCH430', 'CHEM420', 'BIOCHEM100', 'MYDNA', 'BIOCHEM421', 'BIOCHEM10']"
100290,Laetitia La Follette,Fine Arts,40,2.85,3.775,"['ART302', 'ARTHIST100', 'AH303', 'ART115', 'ARTHI115', 'AHIST115', 'ART101', 'ART100', 'ROMANART', 'ARTHI100', 'ARTH100', 'ARTHIST', '100', 'ARTHISTORY115', 'GREEKARTHIST', 'ARTHIST115', 'ARTHIST302', 'AHIST370', 'ART', 'ARH500', '115', 'ARTHIST55', 'AH500', 'ARTHIS115', '500']"
9022,Ventura Perez,Anthropology,40,3.55,3.75,"['ANTHRO215', 'Anthro297M', 'ANTH588', 'ANTHRO297MR', 'ANTHRO297', 'HON150', 'ANTHRO102', 'ANTHRO150H', 'ANTHRO208', '297MR', 'ANTHRO297VC', 'HONORS321H', 'ANTHR496C', 'ANTHRSECT', 'ANTHRO496C', '292V', 'HON292V', 'HONORS292', 'HONORS297']"
83326,David Mednicoff,Law,40,3.525,3.15,"['MIDEAST151', 'MIDEAST190A', 'MIDEAST197A', 'PUBPAMD190A', 'PBPOL697', 'POLSC295', 'POLSC294T', 'LEGAL250491N', 'LEGAL250', 'LEGALSTUDIES', '101', 'EXPTERROR', 'LEG250', 'LS250', 'LEGAL491N', '250', 'LAW360', '497']"
82654,Robert Jackson,Electrical Engineering,41,3.2195121951219514,4.097560975609756,"['ECE310', 'ECE323', 'ECE324', 'ECE311', 'ECE683', 'ECE210', 'ECE201', '675', 'ECE675', 'ENG', 'MWCKTS', 'ECE412', '313']"
2615665,Paul Musgrave,Political Science,40,3.3,3.525,"['POLISCI255', 'POLISCI121', 'POLISCI255H']"
84389,Timothy Rohan,Fine Arts,40,4.625,2.7,"['ARTHIST110', 'ARTHIST118', 'AH343', '511', 'ARTHIST342', 'ARTH343', 'AH118', 'ARTHI118', 'AH342', 'ARTHIST343', '643', 'ART191', 'ARTHS191A', 'ARTHI191A', 'ARTH191A', 'ARCH20TH', 'ARCHITECTUREHI', 'ARCHITECTURE', 'ARH632', 'ARTHIST555', 'ARTHIS532', 'ARTHIST53', 'ARTHIST19']"
936883,David Jensen,Computer Science,40,4.45,2.925,"['CS348', 'COMPSCI348', '691DD', 'CMPSCI345', 'CS383', 'CMPSC383']"
1777319,Shannon Compton,Microbiology,39,2.641025641025641,2.923076923076923,"['MICROBIO160', '160', 'BIOCHEM275', 'MICROBIO360', '275', 'MIRCROBIO160', 'BIO101', 'MB160', 'MICRO160', 'MBIO160']"
82578,James W. Walker,Biology,39,3.0256410256410255,3.3846153846153846,"['BIO103', 'EVOLU280', 'BIO190', 'BIO190A', 'BIO280', 'BIO101', 'BIO270H', 'BIO312', '270H', 'BIO102280', 'BIO102', '280', 'BIOLOGY280', 'BIO290H', 'BIOL102', 'BIOL103']"
83257,Vernon Cronen,Communication,39,2.6666666666666665,2.923076923076923,"['COM301', 'COMM118', 'COMM121', 'COMM263', 'A118', 'COMM355', 'COMM497E', 'INTROTOCOMM', 'COMM', 'COMM180']"
190751,Sean Fitzgerald,Geography,39,3.5128205128205128,2.4615384615384617,"['PHYSGEO01', 'GOESC250', 'GEOSC260', 'GEO250', 'GEOSC250', 'GEOSCIENCE250', 'GEOLOGY250', 'GEOSCI250', 'NATDIS250', 'NATDISASTERS', 'NATURALDISASTER', '250', 'GEO', 'NATTYD', 'NATURALDISASTE', 'GEOSCI', 'GEO102']"
2542384,Gregory Grinnell,Kinesiology,40,4.725,2.425,['KIN110']
2007833,Kathleen Brown-Perez,Anthropology,39,4.564102564102564,1.9743589743589745,"['201H', 'HONORS322H', 'Legal460', 'HON201H', 'HONORS201H', '322H', 'IDEAS201H']"
2386887,Marco Serafini,Computer Science,40,2.15,3.1,"['CS445', 'CS345', '499T', 'CS677', 'COMPSCI677', 'CMPSCI532', 'CS532', 'COMPSCI532']"
2360260,David Gooler,Communication Disorders,39,2.769230769230769,4.17948717948718,"['COMDIS211', 'COMMDIS211', 'COMMDIS214', 'COMMDIS640', 'COMMDIS312', 'COMMDISS211', 'COMDISS211']"
2572018,Verena Carvalho,Microbiology,39,2.717948717948718,3.4871794871794872,"['MICRO310', 'MICRO265', 'MICROBIO310', 'MICROBIO265']"
191798,Brenda Bushouse,Political Science,39,2.6666666666666665,3.1538461538461537,"['POLISCI280', 'POL280H', 'POLSCI', '214', 'PUBPO397', 'PUBPO397P', 'PUBPOL397P', 'PS280', 'PUBLICPOLICY', 'POLSC280', 'PUBPO197', 'POLSC214', 'POLI214', 'PUBLICMNGMT', 'POLISCI214', 'PUBPOLVARIOUS', 'POLSCI214']"
982648,Linda Kinney,Business,39,2.282051282051282,3.8205128205128207,"['HTM250', 'HTM150', 'HTM391B']"
2136247,Andrea Ayvazian,Health Science,39,4.0256410256410255,1.2564102564102564,"['PUBHEALTH160', 'PBH160', 'PUBHLTH160', 'PUBLICHEALTH160', 'PUBHLT160', 'PHEALTH160']"
2663096,Robin Garabedian,English,38,4.894736842105263,2.1842105263157894,"['ENGW1111', 'ENGLISH112H', 'ENGLISH150', 'ENGWRIT112H', 'ENG150', 'ENGWRIT112']"
698233,Lisa Modenos,Anthropology,38,4.921052631578948,2.026315789473684,"['UWW370', 'UWW191G', '191G', 'UWW191', 'ANTHR106', 'ANTHR205', 'ANTH205', 'ANT100', 'ANTHR104', 'ANTH104', 'ANTHO205', 'ANTH106', 'ANTHR102', 'ANTH104D', '104']"
1919023,Stephen Nonnenmann,Mechanical Engineering,43,3.488372093023256,3.046511627906977,"['MIE201', 'MIE302', 'MIENG201', '201', 'MIE697']"
1945040,Laura Vandenberg,Environment,38,3.3421052631578947,3.4473684210526314,"['PUBHEALTH203', 'SPHHS150', 'PUBLICHEALTH150', 'PUBHLTH200', 'PUBHLTH319', 'PH203', '691B', 'PUBHLTH203', 'PUBHEALTH303', 'PH303', 'PUBHLTH303', 'PUBHEALTH390LV']"
212085,John Rhodes,Geology,38,3.236842105263158,2.6578947368421053,"['GEO105', 'GEOSCI105', 'GEOSC105', 'GEO101', 'GEOSCI321', 'GOE105', 'PETROLOGY', 'GEO321', 'GEOLOGY']"
83275,Richard Minear,History,38,4.447368421052632,3.5526315789473686,"['HIST162', 'HIST601', 'HIST201', 'HIST116', 'HISTHIR', 'HIST592J', 'JAP116', 'HISTHIST', '116', 'JAPAN116', 'JAPANSHISTORY', 'HST116', 'HISTORY116', 'HS116']"
88281,Steven Petsch,Science,38,3.8684210526315788,2.5526315789473686,"['ENVISCI101', 'GEOGRAPH110', 'GEO110', 'GEOLOGY285', 'GEOG110', 'GEO103', 'GEOSCI101', 'GEO101', 'GEOIE', 'GEOSC101']"
1373832,Trea Andrea Russworm,English,38,3.526315789473684,3.3421052631578947,"['ENG270', 'ENG200', 'ENG494DI', 'ENG393', 'IDENT270', 'HONOR391D', 'ENGL270']"
1992321,Richard Peltier,Health Science,39,4.794871794871795,2.41025641025641,"['PUBHLTH203', 'PUBHEALTH203', 'PH203', 'PH490RP', 'PUBHLTH490RP', 'PUBHEALTH303', '303']"
765024,William Yousman,Communication,38,4.394736842105263,3.5526315789473686,"['COMM101', 'COMM226', 'COMM', 'COMM334', 'COMM121', 'UWW191G', 'COMM397', 'COMM5', 'HIST101']"
82764,Harley Erdman,Theater,39,4.410256410256411,1.7692307692307692,"['494BI', 'THEA100', 'THEAT100', 'THEATER100', 'TH100', 'THEATRE100', 'THEATER798', 'TH100A', 'THTR100', 'THETR100', 'THEAT321', 'THTRE100', 'THATE100', 'LATAMREP', 'THR397H', '393H', 'THEATR100', 'THR100', 'TH320']"
